Time,FSR Reading
1748626960.7851334,810
1748626960.885224,836
1748626960.985627,805
1748626961.0859346,782
1748626961.1862764,776
1748626961.2866457,779
1748626961.3880768,1023
1748626961.488564,1023
1748626961.588823,1023
1748626961.6892352,1023
1748626961.7896483,1023
1748626961.8890314,976
1748626961.9896643,978
1748626962.0908828,1023
1748626962.1911752,1023
1748626962.2918212,1023
1748626962.3921704,1023
1748626962.4925892,1020
1748626962.593684,1018
1748626962.6936035,1008
1748626962.7942145,1000
1748626962.893361,987
1748626962.9938679,976
1748626963.0938673,970
1748626963.1947484,964
1748626963.2947905,956
1748626963.3952916,948
1748626963.4955187,942
1748626963.5963004,940
1748626963.696507,938
1748626963.7967994,933
1748626963.8975532,929
1748626963.9971275,929
1748626964.0976365,939
1748626964.1979973,941
1748626964.2983167,939
1748626964.3990128,937
1748626964.4990172,938
1748626964.59946,940
1748626964.6997886,940
1748626964.800197,941
1748626964.9006417,940
1748626965.0008745,938
1748626965.1013238,937
1748626965.2016478,935
1748626965.3020868,934
1748626965.4024026,932
1748626965.50279,931
1748626965.6033273,929
1748626965.7035766,927
1748626965.8039145,926
1748626965.9042377,924
1748626966.004682,924
1748626966.1050003,923
1748626966.2053864,922
1748626966.3058534,921
1748626966.406034,919
1748626966.506526,918
1748626966.606908,917
1748626966.7071917,917
1748626966.807781,657
1748626966.9080245,648
1748626967.0082483,652
1748626967.1087484,654
1748626967.209054,656
1748626967.3093922,656
1748626967.4098864,657
1748626967.5100896,658
1748626967.6106467,659
1748626967.7108567,661
1748626967.8112626,661
1748626967.9116335,662
1748626968.0120652,662
1748626968.1122944,663
1748626968.2128325,664
1748626968.3131168,664
1748626968.413916,665
1748626968.513848,665
1748626968.6142855,666
1748626968.714728,666
1748626968.8150172,667
1748626968.9154086,667
1748626969.0156806,668
1748626969.1161714,668
1748626969.2165363,669
1748626969.316908,669
1748626969.417191,669
1748626969.5175562,670
1748626969.6179123,670
1748626969.718302,672
1748626969.8187003,685
1748626969.9190197,697
1748626970.0194523,697
1748626970.1197906,735
1748626970.2202532,764
1748626970.3206692,786
1748626970.4208128,801
1748626970.5225399,1023
1748626970.6227384,1023
1748626970.7231998,1023
1748626970.8235917,1022
1748626970.9239218,1023
1748626971.024515,1022
1748626971.124732,1022
1748626971.2252495,1022
1748626971.3256488,1023
1748626971.426066,1023
1748626971.5263612,1023
1748626971.6258574,992
1748626971.7262378,967
1748626971.826648,926
1748626971.926878,915
1748626972.0272288,891
1748626972.1277397,871
1748626972.227936,819
1748626972.3285499,799
1748626972.4291372,795
1748626972.5292587,783
1748626972.6296458,780
1748626972.729943,780
1748626972.8301775,780
1748626972.9306161,780
1748626973.031021,780
1748626973.131278,780
1748626973.2318985,780
